SD,PQA,RTA,NB,OB,CTR,CTS,TR,TS,STC,STD,SN,SC,SA,SO,RCR,RDR,NRNI,NRAR,ATT,NSRA,ABHR,N95RS,FMS,EPS,GS,GLS
Y,Y,47,225,111,Y,Y,0,97,78,0,Y,N,Y,N,765.77,198.2,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,118,74,Y,Y,2,12,47,0,N,N,N,N,797.3,256.76,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,91,72,Y,Y,1,97,27,0,N,N,N,N,527.78,152.78,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,27,168,102,Y,Y,0,62,56,0,N,N,N,N,852.94,225.49,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,21,85,66,Y,Y,16,75,49,0,Y,Y,Y,Y,878.79,181.82,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,15,69,52,Y,Y,0,43,7,0,Y,N,Y,Y,19.23,19.23,0,0,<1 DAY,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,176,152,Y,Y,23,77,71,0,Y,N,Y,Y,809.21,72.37,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,23,185,136,Y,Y,NA,NA,122,0,Y,N,Y,Y,705.88,161.76,0,2,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,90,53,Y,Y,0,55,19,0,N,N,N,N,509.43,37.74,0,0,1-2 DAYS,0,Y,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,14,209,150,Y,Y,12,168,95,0,N,N,N,N,866.67,80,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,50,182,83,Y,Y,0,64,91,0,N,N,N,N,518.07,84.34,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,72,48,Y,Y,2,11,19,0,Y,N,Y,Y,708.33,41.67,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,119,61,Y,Y,0,222,43,0,N,N,N,N,1245.9,180.33,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,26,200,134,Y,Y,2,268,153,1,N,N,N,N,1126.87,268.66,0,1,NOTEST,2,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
